maxChanges,beta_1,beta_2,beta_3,beta_4,beta_5,origin,destination,Disutility,inVehicleTime,ptTime,taxiTime,bikeTime,walkingTime,waitingTime,cost,numberOfChanges,preprocessingTime,optimizationTime,Gap
4,1,2,3,2,2.5,31491907,72981490,23.41732232076403,0.5,0.5,0,0,1.0586611603820142,5.0,2.9,2,0.03,0.09,-0.0
4,1,2,3,2,2.5,443546729,5784658291,67.81867443647924,8.3,8.3,0,0.0,11.859337218239617,10.0,2.9,3,0.63,0.1,0.032
4,1,2,3,2,2.5,26759335,6225714039,78.87484834285715,12.137166666666666,0,12.137166666666666,0,0.5600952380952381,2.0,29.80874559999999,2,1.35,0.08,0.0
4,1,2,3,2,2.5,503716075,3435380605,42.66406827349029,3.356726190476191,0.6,0.0,2.7567261904761904,2.6861263986499053,7.0,4.4,3,0.11,0.13,0.0
4,1,2,3,2,2.5,30692731,739693943,33.00611507936509,8.16534126984127,0,0,8.16534126984127,1.7963809523809526,2.0,1.5,2,0.02,0.08,0.0
4,1,2,3,2,2.5,3423231670,1693004231,16.398666666666667,0.0,0,0,0.0,8.199333333333334,0.0,0.0,0,0.01,0.09,0.11
4,1,2,3,2,2.5,30437187,5729643856,41.088956311449884,5.257503968253968,1.8000000000000005,0.0,3.4575039682539686,0.4225981954074802,7.0,4.4,3,0.15,0.11,-0.0
4,1,2,3,2,2.5,7051988470,29786500,54.60161706349205,18.240646825396826,0,0.0,18.240646825396826,0.0,2.0,1.5,2,0.07,0.11,0.0
4,1,2,3,2,2.5,16541488,559839166,44.651345419047615,5.933166666666667,0,5.933166666666667,0,0.7784404761904762,2.0,15.5806489,2,0.21,0.08,-0.0
4,1,2,3,2,2.5,29271699,29269805,30.778325666666664,2.4558333333333335,0,2.4558333333333335,0.0,2.5539166666666664,2.0,8.6073295,2,0.06,0.1,0.043
4,1,2,3,2,2.5,5072122360,1614024727,52.600367267562746,17.0,17.0,0,0.0,7.4001836337813724,5.0,2.9,2,0.11,0.09,0.0
4,1,2,3,2,2.5,1831797481,6225714049,54.66915622671704,14.79999999999999,14.79999999999999,0,0,2.034578113358521,10.0,2.9,3,0.61,0.08,0.0
4,1,2,3,2,2.5,3740399132,26722848,36.87384692380952,5.975333333333333,0.0,5.975333333333333,0.0,0.4342380952380952,2.0,12.015018699999999,2,0.04,0.1,0.101
4,1,2,3,2,2.5,296092115,2501363814,96.80640651771428,26.399999999999995,26.399999999999995,0,0.0,9.803203258857131,15.0,2.9,4,1.12,0.08,0.0
4,1,2,3,2,2.5,31669792,5313873458,87.47352866416158,20.6,20.6,0,0.0,11.7867643320808,12.5,2.9,4,1.6,0.11,0.0
4,1,2,3,2,2.5,1630500695,5088742013,46.979213790476194,7.893166666666666,0,7.893166666666666,0,0.6856547619047619,2.0,15.857368799999998,2,0.19,0.09,-0.0
4,1,2,3,2,2.5,26731219,265947398,32.033241733333334,4.400333333333333,0,4.400333333333333,0,0.0,2.0,10.8164542,2,0.08,0.08,0.0
4,1,2,3,2,2.5,28394944,28254039,41.11292615238096,5.000500000000001,0,5.000500000000001,0,2.546940476190476,2.0,12.509272600000001,2,0.06,0.08,0.0
4,1,2,3,2,2.5,29768694,30690659,71.99878727460377,11.5,11.5,0,0.0,12.349393637301883,10.0,2.9,3,0.09,0.09,-0.0
4,1,2,3,2,2.5,20246103,1591359137,35.55875173333334,4.501833333333334,0.0,4.501833333333334,0.0,0.0,2.0,12.5284592,2,0.04,0.1,0.003
4,1,2,3,2,2.5,26762981,21487267,19.48491071428571,4.193964285714286,0,0,4.193964285714286,0.0,2.0,1.5,2,0.04,0.09,0.0
4,1,2,3,2,2.5,319240166,20246271,70.31949415134375,14.560833333333337,10.0,4.560833333333333,0.0,6.020327409005209,4.5,15.109003000000001,3,2.84,0.13,-0.0
4,1,2,3,2,2.5,5837730075,29741555,59.12948417809332,15.4,15.4,0,0.0,7.714742089046664,7.5,2.9,3,0.12,0.08,-0.0
4,1,2,3,2,2.5,6205213054,5456906578,74.67782366886031,20.0,20.0,0,0,9.438911834430158,10.0,2.9,3,0.67,0.09,0.0
4,1,2,3,2,2.5,29030466,323540739,113.57105462745183,32.5,32.5,0,0.0,17.385527313725913,13.5,2.9,4,1.68,0.1,-0.0
4,1,2,3,2,2.5,2387749763,27502231,75.25802214717412,9.600000000000001,9.600000000000001,0.0,0.0,11.179011073587063,12.5,2.9,4,0.91,0.15,0.01
