maxChanges,beta_1,beta_2,beta_3,beta_4,beta_5,origin,destination,Disutility,inVehicleTime,ptTime,taxiTime,bikeTime,walkingTime,waitingTime,cost,numberOfChanges,preprocessingTime,optimizationTime,Gap
4,1,2,3,12,2.5,5105502206,269690898,101.71698674640818,4.199999999999999,4.199999999999999,0,0.0,8.858493373204091,15.0,2.9,4,1.1,1.25,0.089
4,1,2,3,12,2.5,3423231669,447904104,157.57463057312367,20.199999999999996,20.199999999999996,0,0.0,28.787315286561828,15.0,2.9,4,6.46,0.43,-0.0
4,1,2,3,12,2.5,1840026540,521614609,76.26511514480822,1.6000000000000003,1.6000000000000003,0,0.0,12.432557572404106,5.0,2.9,2,0.15,0.25,0.0
4,1,2,3,12,2.5,2215380458,26736437,88.172815222439,10.5,10.5,0,0.0,6.436407611219501,10.0,2.9,3,0.73,0.27,0.0
4,1,2,3,12,2.5,5837720421,6749124528,34.255928571428576,0.0,0.0,0,0.0,17.127964285714288,0.0,0.0,0,0.03,0.13,0.134
4,1,2,3,12,2.5,28301713,420546198,94.91453494910688,8.599999999999996,8.599999999999996,0,0.0,5.507267474553445,13.5,2.9,4,0.92,0.42,0.03
4,1,2,3,12,2.5,94483125,59380577,107.74309897709433,17.0,17.0,0,0.0,12.971549488547167,10.0,2.9,3,1.48,0.35,0.119
4,1,2,3,12,2.5,420546198,29691249,88.7960648255233,3.9000000000000012,3.9000000000000012,0,0.0,2.548032412761655,15.0,2.9,4,0.62,0.62,0.022
4,1,2,3,12,2.5,27318237,802800009,93.61436731970744,8.199999999999989,8.199999999999989,0,0.0,6.55718365985373,12.5,2.9,4,1.68,1.06,0.19
4,1,2,3,12,2.5,1841273473,6759734446,59.6516130952381,10.743416666666667,0.0,0,10.743416666666667,4.396535714285714,2.0,1.5,2,0.04,0.1,0.0
4,1,2,3,12,2.5,6304928505,27541390,95.56618387073775,13.4,13.4,0,0.0,12.43309193536887,7.5,2.9,3,0.56,0.16,0.0
4,1,2,3,12,2.5,34967083,443546728,95.05549923832409,26.0,26.0,0,0.0,2.1277496191620466,10.0,2.9,3,0.78,0.38,0.0
4,1,2,3,12,2.5,28382656,27176669,100.78809210684086,4.599999999999999,4.599999999999999,0,0.0,8.194046053420431,15.0,2.9,4,1.14,0.83,0.113
4,1,2,3,12,2.5,95949913,28202257,57.924970238095234,13.569988095238095,0.0,0,13.569988095238095,0.0,2.0,1.5,2,0.09,0.14,0.0
4,1,2,3,12,2.5,420546198,2281974437,95.36754990660611,6.599999999999992,6.599999999999992,0,0.0,11.983774953303065,10.0,2.9,3,1.27,0.89,0.131
4,1,2,3,12,2.5,2283563299,26736163,70.13687251907152,5.0,5.0,0,0.0,7.668436259535759,5.0,2.9,2,0.32,0.19,-0.0
4,1,2,3,12,2.5,6154284157,650707241,117.78521897412931,10.999999999999993,10.999999999999993,0,0.0,13.492609487064648,15.0,2.9,4,3.63,0.15,-0.0
4,1,2,3,12,2.5,2757332329,270797406,82.37810707024724,9.5,9.5,0,0.0,10.039053535123621,6.0,2.9,3,0.51,0.89,0.218
4,1,2,3,12,2.5,27126863,27318237,58.042833468382874,0.7,0.7,0,0.0,3.771416734191438,5.0,2.9,2,0.05,0.14,0.0
4,1,2,3,12,2.5,26848446,332623741,51.81346230158729,11.12538492063492,0.0,0,11.12538492063492,0.0,2.0,1.5,2,0.12,0.21,-0.0
4,1,2,3,12,2.5,26739693,2508275964,74.30257277606978,7.5,7.5,0,0.0,8.501286388034886,5.0,2.9,2,0.21,0.34,0.0
4,1,2,3,12,2.5,28254039,1863123245,29.867119047619052,0.0,0,0,0.0,14.933559523809526,0.0,0.0,0,0.01,0.09,0.253
4,1,2,3,12,2.5,1833373693,31669806,79.97535220720948,6.2,6.2,0,0.0,4.487676103604745,10.0,2.9,3,0.33,0.84,0.185
4,1,2,3,12,2.5,29420114,1821447987,55.13783487228835,1.9000000000000006,1.9000000000000006,0,0.0,1.7189174361441752,5.0,2.9,2,0.12,0.17,0.0
4,1,2,3,12,2.5,937964981,4332145457,100.62954040421845,18.900000000000034,18.900000000000034,0,0.0,12.214770202109205,7.5,2.9,4,1.38,0.48,0.003
4,1,2,3,12,2.5,4008199112,5837758528,125.14721205408514,10.0,10.0,0,0.0,27.423606027042574,8.5,2.9,3,1.18,0.7,0.028
4,1,2,3,12,2.5,29885368,29885062,31.96983333333333,0.0,0,0,0.0,15.984916666666665,0.0,0.0,0,0.03,0.1,0.167
4,1,2,3,12,2.5,27559689,26943821,64.3041746031746,13.022746031746033,0.0,0,13.022746031746033,0.8736547619047619,4.0,1.5,4,0.09,0.1,-0.0
4,1,2,3,12,2.5,620359833,6391241338,120.77105544000504,2.9000000000000012,2.9000000000000012,0,0.0,19.03552772000252,15.0,2.9,4,0.51,0.11,-0.0
4,1,2,3,12,2.5,34104628,28253386,87.52330100075284,2.700000000000001,2.700000000000001,0,0.0,2.511650500376424,15.0,2.9,4,0.5,0.2,0.06
4,1,2,3,12,2.5,5449213683,281775179,61.5823630952381,13.944392857142857,0.0,0,13.944392857142857,1.3606904761904763,2.0,1.5,2,0.12,0.17,-0.0
4,1,2,3,12,2.5,60668464,1959469665,56.98431150793651,11.906353174603176,0.0,0,11.906353174603176,1.6092142857142857,2.0,1.5,2,0.1,0.18,-0.0
4,1,2,3,12,2.5,1234937369,1507750873,83.73680576979928,3.0,3.0,0,0.0,15.468402884899644,5.0,2.9,2,0.34,0.26,0.137
4,1,2,3,12,2.5,6442546296,26747640,71.57979166666667,18.799297619047618,0.0,0,18.799297619047618,0.29077380952380955,2.0,1.5,2,0.62,0.58,0.011
4,1,2,3,12,2.5,1841185693,742746987,54.42179563492063,11.39176587301587,0.0,0,11.39176587301587,0.9711904761904763,2.0,1.5,2,0.07,0.1,0.0
4,1,2,3,12,2.5,2532149972,5403904416,67.4229146825397,16.23228968253968,0.0,0,16.23228968253968,1.4210952380952382,2.0,1.5,2,0.16,0.19,-0.0
4,1,2,3,12,2.5,26765758,20246103,84.28099122656364,2.1000000000000005,2.1000000000000005,0,0.0,8.690495613281822,10.0,2.9,3,0.81,0.69,-0.0
4,1,2,3,12,2.5,5969915574,27008073,151.95987231518055,20.099999999999994,20.099999999999994,0,0.0,26.02993615759028,15.0,2.9,4,1.69,2.25,0.015
4,1,2,3,12,2.5,26736228,122341666,105.92861023502807,9.99999999999999,9.99999999999999,0,0.0,11.814305117514044,12.5,2.9,4,1.21,1.77,0.129
4,1,2,3,12,2.5,356248371,270737261,76.75571428571428,21.102285714285713,0.0,0,21.102285714285713,0.0,2.0,1.5,2,0.16,0.15,0.0
4,1,2,3,12,2.5,6400342990,31669806,126.794819839082,10.900000000000002,10.900000000000002,0,0.0,18.047409919540996,15.0,2.9,4,3.05,2.92,0.119
4,1,2,3,12,2.5,29189263,564685461,68.42269841269841,17.769079365079364,0,0,17.769079365079364,0.0,2.0,1.5,2,0.17,0.13,0.0
4,1,2,3,12,2.5,5105502206,269690898,101.71698674640818,4.200000000000001,4.200000000000001,0,0.0,8.858493373204091,15.0,2.9,4,1.02,1.18,0.089
4,1,2,3,12,2.5,3423231669,447904104,157.57463057312367,20.200000000000056,20.200000000000056,0,0.0,28.787315286561828,15.0,2.9,4,5.94,0.38,-0.0
4,1,2,3,12,2.5,1840026540,521614609,76.26511514480822,1.6000000000000003,1.6000000000000003,0,0.0,12.432557572404106,5.0,2.9,2,0.14,0.22,0.0
4,1,2,3,12,2.5,2215380458,26736437,88.172815222439,10.5,10.5,0,0.0,6.436407611219501,10.0,2.9,3,0.68,0.26,0.0
4,1,2,3,12,2.5,5837720421,6749124528,34.255928571428576,0.0,0.0,0,0.0,17.127964285714288,0.0,0.0,0,0.03,0.12,0.134
4,1,2,3,12,2.5,28301713,420546198,94.91453494910688,8.600000000000001,8.600000000000001,0,0.0,5.507267474553445,13.5,2.9,4,0.86,0.4,0.03
