id,Latitude,Longitude,ToNde,Velocity,Capacity,Distance
26784971,52.519381231929955,13.295641717792623,26784965+26784970+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+327.1951233025848+,
26784972,52.51941062547304,13.296127161972011,26784966+26784971+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+33.11733129652473+,
26784990,52.513465997675844,13.296598704667927,267399679+,3.0+,1200.0+,30.0+,
26784994,52.5130477431018,13.296923059819239,26682478+267399681+,3.0+3.0+,600.0+1200.0+,236.86677686460456+30.0+,
26785750,52.53446413516459,13.293097073613898,26750519+26785751+,8.333333333333334+8.333333333333334+,3000.0+2000.0+,562.273854225769+50.489960850372164+,
26785751,52.5340388831157,13.293151059998745,26784555+,8.333333333333334+,2000.0+,30.0+,
26785753,52.512192786584045,13.320879465601443,26704584+,8.333333333333334+,4000.0+,51.52661656970283+,
26785772,52.51268868240652,13.28159673176332,26785774+26785781+26785821+,8.333333333333334+8.333333333333334+8.333333333333334+,4000.0+2000.0+2000.0+,30.0+255.536632198535+115.7659437470333+,
26785774,52.51266858639212,13.281332062122102,247919914+26785772+27559811+,8.333333333333334+8.333333333333334+3.0+,4000.0+4000.0+600.0+,30.0+30.0+1256.4204739335878+,
26785781,52.512733353279366,13.285335998715363,26708458+26785772+484107+,8.333333333333334+8.333333333333334+10.0+,2000.0+2000.0+3000.0+,104.62871108651363+255.536632198535+290.8897297446647+,
26785788,52.518175169304435,13.28002900851062,26785789+270021964+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+163.385810373902+,
26785789,52.518195765227034,13.28029907753123,26785790+26785796+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+178.44418613945902+,
26785790,52.518353047486386,13.280279782489872,26785791+59861417+,8.333333333333334+5.0+,2000.0+802.9+,30.0+144.1833426370423+,
26785791,52.51834175052494,13.280007013943376,26785788+27559580+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+136.62905686010023+,
26785796,52.51850081416195,13.282850386780789,264255868+26785790+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+175.28734764455143+,
26785807,52.516759024314986,13.280936878685948,26785789+270021964+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,166.3748841637735+30.0+,
26785818,52.513715268751014,13.281137902740998,26785774+26785821+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,117.2266432809477+30.0+,
26785821,52.51371926683583,13.281364976465252,26785818+270020878+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+124.84459735871113+,
26787011,52.49521919455076,13.30842171869439,26740529+26740531+,8.333333333333334+8.333333333333334+,2000.0+4000.0+,30.0+90.11053702775324+,
26787016,52.49169409019857,13.309172370965412,26731197+26787017+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,106.70452644886126+30.0+,
26787017,52.49164859447985,13.309310754132946,26731190+26787016+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+30.0+,
26787023,52.487918653192,13.335092299952782,26731220+26731224+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+142.87153798716912+,
26787034,52.481492619331505,13.329448844201888,26751250+26787037+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+239.64899847391257+,
26787037,52.483466586070044,13.330855814905458,26731217+26787934+,8.333333333333334+8.333333333333334+,1000.0+1000.0+,284.61440400307697+637.3180805904709+,
26787933,52.48915803986004,13.330795019605802,26708507+26763861+,8.333333333333334+8.333333333333334+,1000.0+1000.0+,634.5664163363606+214.02833120450083+,
26787934,52.489176336362036,13.33101699417534,528612497+,8.333333333333334+,3033.6+,69.16920911811116+,
26787963,52.50090220520361,13.330870512446726,26763044+26787965+,8.333333333333334+8.333333333333334+,2000.0+4000.0+,53.8727655313661+184.7526784708125+,
26787965,52.502553715825066,13.33114710871979,26762979+26787963+,8.333333333333334+8.333333333333334+,1000.0+4000.0+,119.42045083788925+184.7526784708125+,
26787967,52.50492438237082,13.34118428499155,26704073+26787972+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+121.15589085226723+,
26787971,52.50496307903395,13.341018504888165,26787967+26916074+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+40.84318691996776+,
26787972,52.504493820815895,13.342822887506237,26704085+26916066+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+229.33921623669778+,
26788840,52.495118075340905,13.328829549875094,26731245+,8.333333333333334+,1118.5+,124.85414954708904+,
26788842,52.494935254502565,13.33533689194094,21487246+26788846+,8.333333333333334+8.333333333333334+,1000.0+1000.0+,169.51280534005326+131.35196472951966+,
26788845,52.494560886135396,13.337041987741708,26788842+26788846+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,123.29441844230352+30.0+,
26788846,52.4943825063949,13.337042784589645,26762972+,8.333333333333334+,2000.0+,30.0+,
26790051,52.534006647613,13.299247251892046,16541572+,16.666666666666668+,2206.1+,318.646096777999+,
26790354,52.533620998337796,13.28261397572756,26750521+26785751+,10.0+8.333333333333334+,3000.0+2000.0+,160.38342774704947+723.3973656695787+,
267924279,52.650072858060994,13.569815486275443,49395257+,10.0+,3000.0+,261.6329347990291+,
267928112,52.69056982164466,13.56014209464464,146213663+29768498+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,1587.1074417759992+30.0+,
267928605,52.68965404184206,13.557532783028465,267929051+29768510+,10.0+10.0+,3000.0+3000.0+,274.68758441942947+311.42339183592026+,
267929051,52.691901192692725,13.556588830891979,267929054+,10.0+,6000.0+,30.0+,
267929054,52.692057273534516,13.556820506549307,29768499+29768504+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,220.39663161824558+30.384552205584804+,
267953119,52.77288364451674,13.566129488983707,267953475+96504576+,10.0+10.0+,3000.0+3000.0+,167.08396391580612+218.45875805408625+,
267953475,52.77157970005801,13.564906609498808,267953639+297171066+,10.0+10.0+,6000.0+6000.0+,55.62592872902812+52.76511601875439+,
267953639,52.77122354366796,13.564392063468146,297171066+29753472+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+1201.1740892385642+,
267954161,52.77393854503302,13.562891884438056,29753523+378280941+,10.0+10.0+,6000.0+3000.0+,42.73010389970931+183.30391171363442+,
267980708,52.518677429650914,13.339692594103385,26702670+365383734+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+145.8170173626444+,
267980710,52.52280232557124,13.32961183480496,267980708+267980715+29962151+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+2000.0+,824.8012455037059+96.26658876548008+93.80136093911955+,
267980715,52.52223769646567,13.328555147721502,267980710+675602656+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,96.26658876548008+30.0+,
267980716,52.521959433527385,13.327702641866344,21590985+675602656+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,627.9264373732365+51.09983346448387+,
267980717,52.5239815787449,13.331625421404688,26984894+29962151+,8.333333333333334+8.333333333333334+,1000.0+1000.0+,173.31871932592097+138.8873879300789+,
268001141,52.50099814299589,13.641801234652725,29621436+29621643+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+381.29936973166673+,
268017009,52.32923375223145,13.108829152884976,390039422+,16.666666666666668+,6000.0+,2917.1623025461386+,
268017170,52.330163404946056,13.115178335120865,268017176+31358915+31359485+,10.0+8.333333333333334+8.333333333333334+,3000.0+1000.0+1000.0+,118.14987255342352+142.60993008080223+912.5437298075577+,
268017176,52.33059084614194,13.116737262356159,268017292+,10.0+,3000.0+,363.977017756599+,
268017292,52.33264658798405,13.120470466616597,252413766+,16.666666666666668+,6000.0+,2476.242878978627+,
268017742,52.3303567003394,13.1125261451003,268017176+268017292+,10.0+16.666666666666668+,3000.0+6000.0+,369.70852069364236+598.5575804804389+,
26801788,52.51256266570322,13.28641897012265,458334+,16.666666666666668+,4005.3+,283.8011320092417+,
268019853,52.36631138841937,13.146863001030946,29905180+,16.666666666666668+,6000.0+,1206.3940792298158+,
268019913,52.366972805294594,13.148079671797193,268040828+27371222+,16.666666666666668+10.0+,6000.0+3000.0+,1410.89950927651+347.47232247336285+,
268021143,52.493432435737255,13.365038321026482,268021210+27785848+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,31.26522635167055+30.0+,
268021210,52.49362441327273,13.365141112384721,283456554+,5.0+,1314.0+,67.89981133886926+,
268021311,52.493322235223026,13.36708518171639,27785855+29986612+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+43.42944684016789+,
268021378,52.37228499591243,13.148929366014558,27371120+,8.333333333333334+,2000.0+,437.10403246534196+,
268021513,52.37204995859351,13.143419699376501,27371188+454189728+,10.0+8.333333333333334+,3000.0+2000.0+,515.9521938822772+446.77358592938106+,
268031907,52.40827182831267,12.72701641903388,262213983+268031930+34707531+,8.333333333333334+8.333333333333334+3.0+,2000.0+2000.0+600.0+,2988.459708729194+657.578881309334+306.1391145497677+,
268031930,52.409466957404035,12.717553335581135,268031907+281689281+302577434+,8.333333333333334+3.0+8.333333333333334+,2000.0+600.0+2000.0+,657.578881309334+8756.193020222034+1604.6662278550593+,
268040828,52.379399080101486,13.150029662637595,268048277+,16.666666666666668+,6000.0+,3371.4723156498853+,
268040955,52.376282036083914,13.149771638188293,268019853+27374015+,16.666666666666668+10.0+,6000.0+3000.0+,1163.270230055569+261.3797360571059+,
26804459,52.46933320011187,13.236246640394597,26839923+27089520+484286+,8.333333333333334+8.333333333333334+10.0+,2000.0+2000.0+3000.0+,60.68304203538107+30.0+446.2912639613279+,
26804478,52.46739344758431,13.24753079876982,26739654+26806097+26839923+26881736+,8.333333333333334+8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+1000.0+1000.0+1000.0+,2456.9902639258476+2225.4585821362352+736.0654143371648+1594.4065420691832+,
26804667,52.492442707988445,13.293148142327796,26804680+,16.666666666666668+,6000.0+,776.8170386284858+,
26804680,52.49599036360872,13.284025161618539,26804714+,16.666666666666668+,8000.0+,287.4463498322487+,
26804714,52.49819192752467,13.28184695227172,26804718+,16.666666666666668+,16000.0+,30.143382101946948+,
26804718,52.49843220154806,13.28164208018387,26745933+27527878+,16.666666666666668+10.0+,16000.0+1500.0+,66.41642129963515+122.34149622836128+,
268048277,52.39897463523825,13.183796995078536,268051542+268052404+,10.0+16.666666666666668+,3000.0+6000.0+,353.5970553181916+636.3702984499952+,
268051542,52.40094368813616,13.18738381405948,268052404+,10.0+,3000.0+,369.48806610093027+,
268051614,52.39889074744919,13.183385241286153,268040955+,16.666666666666668+,6000.0+,3704.641039788037+,
268052404,52.403690364918866,13.189084664857395,268055235+,16.666666666666668+,6000.0+,1301.7537901543049+,
268053098,52.4034601944829,13.188560621529255,268051614+268053213+,16.666666666666668+10.0+,6000.0+3000.0+,618.6387584537217+343.97498818482376+,
268053213,52.40194178880374,13.185213582638358,268051614+26917058+,10.0+10.0+,3000.0+3000.0+,391.062226848519+109.98267463215082+,
268055235,52.41390454964351,13.19746897145133,268060789+268071659+,10.0+16.666666666666668+,1500.0+4000.0+,407.9078289115287+1238.9536219662534+,
26805818,52.47963467585886,13.306736146019281,26736303+,10.0+,1157.8+,291.15852040253424+,
268060789,52.41754763980502,13.19682540922938,26914806+26914860+,10.0+10.0+,3000.0+1500.0+,578.4954175481834+304.37077864114826+,
26806097,52.48326102742122,13.265737362504138,26624548+26739129+26804478+29030468+,8.333333333333334+8.333333333333334+8.333333333333334+3.0+,1000.0+1000.0+1000.0+600.0+,1880.4662003907108+1240.1650826066743+2225.4585821362352+2821.01982371064+,
268061445,52.4200604610618,13.195775074504855,26914815+725279947+,10.0+10.0+,1500.0+1500.0+,274.07528317696523+344.79627649398867+,
268071659,52.42459555979502,13.193603704769417,27088393+,16.666666666666668+,4000.0+,704.1562731626502+,
268071676,52.4243755840121,13.193723887027522,26914975+484322+,10.0+16.666666666666668+,3000.0+4000.0+,176.00772654559512+885.6384487853027+,
268072502,52.423061580186314,13.201910816033754,26602203+26926430+,8.333333333333334+10.0+,2000.0+3000.0+,929.1027478207071+138.5839285281345+,
268076066,52.433562551755465,13.191921455507881,26190998+26280873+27088394+,8.333333333333334+8.333333333333334+10.0+,2000.0+1000.0+1500.0+,90.56031733370563+182.187765245648+347.5316584491746+,
268076575,52.435147360781436,13.19359758891187,846565336+,16.666666666666668+,2895.0+,183.8216799281829+,
26807679,52.522954495171696,13.362989463871278,26807680+31258106+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+231.1822385517769+,
26807680,52.52272312211101,13.362886171896276,26807679+26807709+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+62.531245152464784+,
26807707,52.52282550430294,13.36385586111174,-196+26807709+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,52.76839055802074+30.0+,
26807709,52.52264142564332,13.363788165815881,26807707+26858358+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+286.1113011143372+,
268078028,52.464457788459974,13.230922772961257,484243+,16.666666666666668+,4000.0+,405.84259605435+,
26807986,52.49948158588914,13.281090562278251,26745935+,8.333333333333334+,6000.0+,53.50891123606113+,
26808287,52.30953231008558,13.448658925050633,29717710+34578889+,8.333333333333334+10.0+,2000.0+6000.0+,484.62566937079794+30.0+,
26808325,52.317891288969236,13.44396690770525,29648472+60599320+91409868+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+2000.0+,220.30289474475498+30.0+30.0+,
268083295,52.48801602850978,13.259334587199263,26914419+,16.666666666666668+,2775.3+,143.43967781067485+,
26808417,52.30887646551136,13.451705561769883,26808544+,10.0+,3000.0+,321.1880748163478+,
26808420,52.343273060586505,13.434770697519534,256005890+29648472+298418030+,3.0+8.333333333333334+3.0+,600.0+1000.0+1200.0+,1867.7265671573623+2766.5828611451348+30.0+,
26808544,52.30730876349715,13.448575397476557,21483083+,16.666666666666668+,6000.0+,153.26851909540167+,
26808545,52.308966824249325,13.456633993377238,26808417+26808544+,10.0+16.666666666666668+,3000.0+6000.0+,361.0373952347761+579.8526515429228+,
268107482,52.50327617506718,13.277947392426793,26745992+487727796+,8.333333333333334+8.333333333333334+,8000.0+10000.0+,69.82420057668648+61.174989022238634+,
268111126,52.50193210927318,13.280818036220126,26839931+,8.333333333333334+,4000.0+,36.07904224042298+,
268114596,52.503256061801146,13.280363911770431,26745975+,10.0+,9000.0+,81.83302432656546+,
268122860,52.28195972214072,12.913407996613584,268124447+,16.666666666666668+,6000.0+,454.2298703613695+,
268124447,52.277963685623604,12.912049982247744,268125187+,16.666666666666668+,6000.0+,431.90390074091323+,
268124668,52.28089914360601,12.913278292703094,483878+,10.0+,4500.0+,1779.186564395291+,
268124939,52.27686601137137,12.911911078739127,268124668+27486603+,16.666666666666668+10.0+,6000.0+3000.0+,458.40012826397725+1864.734243624791+,
268125187,52.27416402633703,12.91075906362641,60373164+,16.666666666666668+,6000.0+,133.1252021933912+,
268125197,52.274157025601,12.91098773710264,268124939+,16.666666666666668+,6000.0+,307.9696358692268+,
268127572,52.2701921949741,12.908224285520417,262267781+60373156+,10.0+10.0+,3000.0+3000.0+,338.1078634724284+166.6148644969055+,
268128719,52.27041804945216,12.911185047761355,60373166+,10.0+,3000.0+,299.7391687138686+,
268130799,52.47069002181062,13.101860240009934,268130804+31944012+,8.333333333333334+8.333333333333334+,4000.0+4000.0+,30.0+30.0+,
268130802,52.47082090877613,13.10158097467951,31944012+620823558+,8.333333333333334+8.333333333333334+,4000.0+4000.0+,30.0+30.0+,
268130804,52.47056803610188,13.10179424550943,268130799+268130809+31944041+,8.333333333333334+8.333333333333334+8.333333333333334+,4000.0+4000.0+4000.0+,30.0+30.0+30.0+,
268130809,52.47056373405928,13.10217960077484,268130799+27324736+,8.333333333333334+8.333333333333334+,4000.0+2000.0+,30.0+1291.5666448427567+,
268132141,52.47037806524626,13.100642975583352,27244905+31944041+,8.333333333333334+8.333333333333334+,2000.0+4000.0+,4753.721100560708+58.75062184349813+,
268132144,52.471535324356815,13.102077329740174,268130802+27245195+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,86.68046853331067+3043.012278967583+,
268197201,52.21680750269389,12.90282365922557,98725977+,10.0+,3000.0+,313.90083976577387+,
268199972,52.21429423212921,12.896326963789086,68285686+,10.0+,6000.0+,83.07691715399721+,
268199987,52.21613249715748,12.900185451486628,268199972+,10.0+,3000.0+,403.85539608553563+,
268207099,52.21281722841406,13.257404584323126,268207159+468527362+60123940+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+2000.0+2000.0+,196.12750871819645+86.17210600053758+1936.6861967922205+,
268207159,52.21290649985639,13.260266455587626,268207099+60124152+60882399+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+2000.0+1000.0+,196.12750871819645+2045.8675078893878+183.3972694407811+,
268225692,52.50936537470635,13.547760688952431,29881316+,8.333333333333334+,2000.0+,368.0177653067118+,
268225769,52.50943306564646,13.547980564564595,29809365+29809370+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,512.9491348049501+414.2489842314858+,
26822752,52.509301458592546,13.376727136161353,25664099+26866997+,8.333333333333334+8.333333333333334+,2000.0+4000.0+,30.0+98.63657612134809+,
26822791,52.505732206763376,13.370014853963562,26746084+,8.333333333333334+,2435.0+,57.05538426103221+,
26822809,52.50714555193286,13.369115782440563,26822811+,8.333333333333334+,1124.3+,135.83350615381613+,
26822811,52.50829061753959,13.369793823349065,162081801+20246260+,8.333333333333334+8.333333333333334+,4000.0+4000.0+,30.0+30.0+,
26822816,52.50642593620595,13.36871901617049,26822809+,8.333333333333334+,2248.6+,84.49629849725274+,
26822970,52.50425789458545,13.351130919613665,103553858+103554408+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,64.21886357611177+30.0+,
26822971,52.50507559674571,13.351906843603599,26822972+26822973+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,36.61527977104229+75.5525125144147+,
26822972,52.50537806103277,13.352119024168873,20246266+26822973+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,99.6637219727057+56.15916409282445+,
26822973,52.50532816156301,13.352924529861484,29018852+,8.333333333333334+,2000.0+,49.9102096575252+,
26822978,52.503791837566986,13.352692530460306,103553858+26822979+26866506+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+1000.0+2000.0+,54.22548202709379+171.94412634875528+93.5610754039218+,
26822979,52.50520607040935,13.353712036405783,26765762+26822978+,8.333333333333334+8.333333333333334+,1000.0+1000.0+,845.361591651443+171.94412634875528+,
26823009,52.499781385778256,13.353849227588686,26823011+26823012+26823014+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+2000.0+1000.0+,78.62935373621413+85.6193846297184+284.5039635377028+,
26823010,52.49964349915512,13.354207883621504,26823009+26823026+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+41.31774371950962+,
26823011,52.499078765925034,13.353797821521393,26823012+,8.333333333333334+,2000.0+,30.0+,
26823012,52.499046267216805,13.354174177305948,26823010+26823034+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,67.13461179007183+551.5821246397436+,
26823014,52.50035284677151,13.349787208595696,26704078+26823015+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,191.47551597801368+30.0+,
26823015,52.50013887177028,13.349678917492348,26823011+26823014+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,304.78968005440095+30.0+,
26823017,52.50207102955789,13.353240037469106,162055790+162055797+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+54.83602589600829+,
26823026,52.49999516044982,13.354012812272249,101471629+101472541+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,59.81250591307409+30.0+,
26823027,52.499446618113076,13.354742318253168,26823010+26823026+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,42.398262375926734+78.74624841493281+,
26823034,52.49757228536129,13.36190915479426,26823035+29318889+772829346+,8.333333333333334+8.333333333333334+8.333333333333334+,4000.0+1000.0+2000.0+,30.926518535316582+135.55378729952628+183.6303796555823+,
26823035,52.49784065412061,13.362027345673901,26823027+26823034+777364615+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+4000.0+2000.0+,527.5585867045411+30.926518535316582+197.3084201530784+,
268244550,52.50850438476803,13.56186113794963,29881317+,8.333333333333334+,3144.8+,30.0+,
268246712,52.50453510196587,13.61571822068956,29621613+,8.333333333333334+,1563.4+,336.74171700325724+,
268246890,52.504608287555094,13.616705207342106,168499901+,8.333333333333334+,2888.0+,56.06247282716342+,
268265033,52.57929617670682,13.397531117435364,269690847+30429683+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,224.3850893393342+30.0+,
268306521,52.49793052288621,13.751169389084914,29877356+,8.333333333333334+,2000.0+,230.87417864602276+,
26835976,52.5201350469646,13.27998694728591,26835994+59861418+,8.333333333333334+5.0+,1000.0+1522.8+,2006.9689173469808+60.8530552165107+,
26835994,52.53373948932927,13.266397659825182,26759191+26759289+26835976+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+1000.0+1000.0+,324.87428309677745+1595.1623761879587+2006.9689173469808+,
26836031,52.53024717088895,13.284266825535658,267209694+,16.666666666666668+,10529.2+,35.1284628562479+,
26836035,52.521327298915,13.281949640166776,26836041+,16.666666666666668+,5039.5+,141.47926023761303+,
26836040,52.52253276617209,13.28130053633331,251045852+,16.666666666666668+,5519.5+,534.7967250084723+,
26836041,52.522569560665566,13.281506813033882,458345+,16.666666666666668+,5039.5+,159.40122494760175+,
268368407,52.53734235876059,13.815018614620989,255740550+258020386+268368756+,8.333333333333334+8.333333333333334+3.0+,1000.0+2000.0+600.0+,567.0223329458836+97.19206239477198+598.168492926927+,
268368756,52.53959895897154,13.822228613491534,268368407+,3.0+,600.0+,598.168492926927+,
26838117,52.482074863703076,13.281032868454574,602244726+602244733+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+30.0+,
26838171,52.48584643429603,13.29673851226772,26738403+271184703+,8.333333333333334+8.333333333333334+,4000.0+2000.0+,53.40361705211597+30.0+,
26838172,52.484179143427816,13.293668239578556,26838173+271186758+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+152.76990706189565+,
26838173,52.484079053860505,13.293814320914175,26744447+26838172+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,225.48622268408252+30.0+,
26839923,52.46918081188235,13.237103938377263,26804459+26804478+484245+,8.333333333333334+8.333333333333334+10.0+,2000.0+1000.0+3000.0+,60.68304203538107+736.0654143371648+362.8830573796778+,
26839931,52.502191281861485,13.280502677277616,26745939+,8.333333333333334+,4000.0+,179.28665698221+,
268401320,52.551069305622505,13.847229593842288,53398665+53401804+,3.0+8.333333333333334+,600.0+1000.0+,133.20074000680387+5429.608560546714+,
268401329,52.551382345963646,13.85124603212255,249869639+268401320+53398665+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+1000.0+1000.0+,904.9937807283526+280.43660524748714+241.64686963042627+,
26840972,52.465761612559334,13.312899093043669,26729641+,10.0+,3000.0+,771.0715553653763+,
26840975,52.464966592371844,13.31454108904097,26583821+618259635+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+100.47359436868103+,
26840987,52.46803608757409,13.307681137031626,26729637+26840993+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,32.12070380133967+111.21632741451413+,
268409870,52.50065683553892,13.44066667025804,29276780+,8.333333333333334+,2000.0+,212.1736493545111+,
26840990,52.46559627705824,13.30576671703097,26729626+26736413+82654327+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+2000.0+1000.0+,30.0+30.0+140.48484934236367+,
26840993,52.467280166604304,13.308750800034785,26736417+26840994+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,155.78505576620546+61.409264777326634+,
26840994,52.466893706380056,13.309395718629437,26627401+26729636+26840993+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+2000.0+,359.114670959809+33.524770343390706+61.409264777326634+,
26840999,52.468276262043396,13.307406972943683,26840987+,8.333333333333334+,2000.0+,32.582653274030775+,
26841007,52.46886769414835,13.307515770496174,26729641+,10.0+,3000.0+,248.6045706895771+,
268466879,52.498639706484546,13.418230039179399,29217338+577322007+,8.333333333333334+8.333333333333334+,4000.0+2000.0+,30.0+1285.3082112979068+,
26848433,52.48632123856446,13.428894792935637,29736117+31357325+322650964+,8.333333333333334+8.333333333333334+8.333333333333334+,4000.0+2000.0+1000.0+,95.38400110918447+30.0+234.3338371184588+,
26848434,52.48599886696169,13.430197236394324,29736117+31357325+318549154+,3.0+8.333333333333334+3.0+,1200.0+2000.0+600.0+,30.0+103.11994772302663+1742.1576118245655+,
26848446,52.48148501803087,13.43998262491901,27555077+29720800+31260170+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+2000.0+,157.3734979886618+30.0+704.1721614754945+,
26848485,52.45844930393989,13.303454862176482,26190958+26729625+26848519+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+2000.0+,993.6398923941495+30.0+50.145324020465196+,
26848489,52.45900233891102,13.303796432089603,26848494+26848557+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+753.9340794274517+,
26848494,52.458877053729374,13.303705540471752,26848485+,8.333333333333334+,2000.0+,50.56144713216482+,
26848499,52.45896774149939,13.30400580722612,264876088+26848489+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,120.91338237346844+30.0+,
26848504,52.46148935285393,13.304338112045574,26729646+82654319+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+159.86180259236448+,
26848519,52.45801445458915,13.303261577106536,26729625+26906175+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,65.9064921287725+1488.3664201100642+,
26848552,52.464185895195826,13.296743238801643,26848494+26848557+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,764.7053419711265+30.0+,
26848557,52.464277583061396,13.297010709373923,26848552+26848561+82654322+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+2000.0+1000.0+,30.0+30.0+236.94443384157432+,
26848561,52.46442426754579,13.296831432679582,26848649+666778400+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+30.0+,
26848588,52.47017946100844,13.289456986651528,26848591+30180615+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+158.39775045151723+,
26848591,52.46997018306676,13.289724552027383,26865474+422527945+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+353.135288004089+,
26848595,52.46534501515426,13.288699391202426,26848599+26848677+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+202.90036515065657+,
26848599,52.46534631680136,13.288420023609344,26848595+27253439+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+247.45370662154198+,
26848645,52.464471265125546,13.29637658621435,26848649+666778400+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+30.0+,
26848649,52.46458115098756,13.296634058258752,26848645+82654334+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+409.74346835955004+,
26848657,52.458217934999745,13.287134249882909,26848661+27253427+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+206.29332002709725+,
26848661,52.45822553547065,13.286926574084616,26848665+26848668+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,74.19424947317026+30.0+,
26848665,52.45816334950761,13.285841798745224,26739651+26848668+,8.333333333333334+8.333333333333334+,1000.0+2000.0+,773.8684868102316+73.45135331488865+,
26848668,52.458010060176065,13.286891974384396,26848672+27253414+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+393.4072290498524+,
26848672,52.45795836461647,13.287115047638837,26190960+26848657+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,90.10867425908623+30.0+,
26848677,52.46711780961563,13.28934004747,126364048+30348981+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+160.1726404666965+,
