id,Latitude,Longitude,ToNde,Velocity,Capacity,Distance
100157291,52.45442734354396,13.511472478808361,100154846+100157292+100157398+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+2000.0+,155.98006108899207+48.00525521294577+66.26158871489056+,
100157292,52.454698709273586,13.512021319718489,100157291+100157398+301288388+,8.333333333333334+8.333333333333334+8.333333333333334+,2000.0+6000.0+2000.0+,48.00525521294577+37.716194423488695+30.0+,
100157398,52.454460233909884,13.512415470022857,28795932+,8.333333333333334+,3000.0+,258.2215496217259+,
100159422,52.441106327153285,13.500327847568874,100159780+96499875+,8.333333333333334+8.333333333333334+,1000.0+1000.0+,159.9711869037224+724.3134478344283+,
100159780,52.43997495745202,13.500053360419491,100159422+492462651+,8.333333333333334+8.333333333333334+,1000.0+1000.0+,144.0430231454453+410.74045381139535+,
100167360,52.45605308517278,13.475350894196287,100167375+199538245+27541849+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+1000.0+1000.0+,1075.8989202488092+647.8400581998983+1256.7648781869254+,
100167375,52.45121595392148,13.48824851753156,100167360+206191958+96499875+,8.333333333333334+8.333333333333334+8.333333333333334+,1000.0+2000.0+1000.0+,1075.8989202488092+1101.5087455915166+1359.4635176601162+,
100167392,52.44442818589915,13.510512922564113,412543168+57343267+96499875+,3.0+3.0+3.0+,600.0+600.0+600.0+,1038.2554813838087+323.96018522695545+351.09480651303136+,
100745597,52.44993624303692,13.756802154481212,100745618+269710867+414692735+,3.0+8.333333333333334+8.333333333333334+,600.0+1000.0+1000.0+,1071.9512865928507+419.4748099596304+3355.2951180381106+,
100745618,52.44256873252881,13.764709417787804,100745597+,3.0+,600.0+,1071.9512865928507+,
100896691,52.500844057079846,13.386524255096692,100896692+26869281+,8.333333333333334+8.333333333333334+,2000.0+1000.0+,30.0+235.08575974163423+,
100896692,52.50091874729586,13.38672873264807,100896691+100914124+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,30.0+47.90953221290219+,
100912392,52.50119411987583,13.386120607897123,100896691+100914124+,8.333333333333334+8.333333333333334+,2000.0+2000.0+,47.63704578143029+30.0+,
